Page,Item,zid,State,City,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,Zone,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days
16,1,27742617,TX,Houston,"13119 Reeveston Rd, Houston, TX 77039",29.904688,-95.368744,269990,https://photos.zillowstatic.com/fp/77b5eff08436054654c74847a662d39d-p_e.jpg,4,1,1,1353,77039,1090,2.29,0,0,1,0,1966,1,0,1050,,,999,999,999,999,999,999,0,-19990,144
16,2,27755338,TX,Houston,"2405 Dolly Wright St, Houston, TX 77088",29.866842,-95.446884,250000,https://photos.zillowstatic.com/fp/4b880bdc4d6360dd0364005cd7e86e7c-p_e.jpg,3,2,9517.86,1315,77088,1090,2.29,0,0,1,0,2017,1,0,1050,,,2,1,2,1.3,4,0.3,0,0,0
16,3,27763204,TX,Houston,"713 E 40th St, Houston, TX 77022",29.822432,-95.3903,95500,https://photos.zillowstatic.com/fp/5e26cb3f7b16dad7cff8acdb888a7927-p_e.jpg,3,1,4800.312,1038,77022,1090,2.29,1,0,1,0,1952,1,2,1050,,,4,0.3,3,2.9,3,0.5,1,154500,3723
16,4,27764784,TX,Houston,"3609 Beulah St, Houston, TX 77004",29.72849,-95.3485,250000,https://photos.zillowstatic.com/fp/f0019c6338adb6d6a906298fffb31753-p_e.jpg,3,2,5000.688,1427,77004,1090,2.29,1,0,1,0,1930,1,2,1050,,,4,0.8,3,2.5,2,0.5,0,0,0
16,5,27764789,TX,Houston,"3610 Rosalie St, Houston, TX 77004",29.728746,-95.348404,250000,https://photos.zillowstatic.com/fp/05c1aedf694f60e202762116e059c825-p_e.jpg,2,1,5000.688,1106,77004,1090,2.29,1,0,1,0,1930,1,1,1050,,,4,0.8,3,2.5,2,0.6,0,0,0
16,6,27776224,TX,Houston,"1118 Collingsworth St, Houston, TX 77009",29.793016,-95.35628,250000,https://photos.zillowstatic.com/fp/2c47caf41601d7415a74cb2509588134-p_e.jpg,2,1,5000.688,1053,77009,1090,2.29,1,0,1,0,1945,1,1,1050,,,5,0.2,5,0.7,2,0.6,0,0,0
16,7,27776225,TX,Houston,"3515 Cochran St, Houston, TX 77009",29.792883,-95.35628,250000,https://photos.zillowstatic.com/fp/bb3c961dee806edf8185b9e9568ff69f-p_e.jpg,2,1,5000.688,972,77009,1090,2.29,1,0,1,0,1935,1,1,1050,,,5,0.2,5,0.7,2,0.6,0,0,0
16,8,27788375,TX,Houston,"5001 McKinney St, Houston, TX 77023",29.738237,-95.32506,250000,https://photos.zillowstatic.com/fp/e6292addf65aafa26bacb6d88afdb3e0-p_e.jpg,2,1,4978.908,1565,77023,1090,2.29,1,0,1,0,1940,1,1,1050,,,4,0.6,4,0.2,2,0.6,0,0,0
16,9,27817287,TX,Houston,"173 Woodvale St, Houston, TX 77012",29.72722,-95.28806,240000,https://photos.zillowstatic.com/fp/3b30abe7fdf163e48948f770d4858278-p_e.jpg,3,2,5501.628,1242,77012,1090,2.29,0,0,1,0,1948,1,0,1050,,,3,0.5,3,1.2,3,1.2,1,10000,7
16,10,27844586,TX,Houston,"6823 Keller St, Houston, TX 77087",29.706394,-95.2971,250000,https://photos.zillowstatic.com/fp/d26ce2bef612063b298a4d11d1a850e8-p_e.jpg,3,1,5501.628,1020,77087,1090,2.29,1,0,1,0,1951,1,1,1050,,,6,0.6,2,1.2,3,1.3,0,0,0
16,11,27844626,TX,Houston,"7006 Keller St, Houston, TX 77087",29.705976,-95.29419,250000,https://photos.zillowstatic.com/fp/6d03b8aa23d361d0f28b5dfdb446ece9-p_e.jpg,3,2,5501.628,1284,77087,1090,2.29,0,0,1,0,1948,1,3,1050,,,6,0.4,2,1,3,1.1,0,0,4260
16,12,27847471,TX,Houston,"718 E 43rd St, Houston, TX 77022",29.824768,-95.39056,165000,https://photos.zillowstatic.com/fp/ee015bace664e21a42e4a2aeada0baa8-p_e.jpg,4,2,5667.156,1313,77022,1090,2.29,1,0,1,0,1957,1,2,1050,,,4,0.5,3,2.7,3,0.5,1,85000,212
16,13,27879322,TX,Houston,"4335 Oxford St, Houston, TX 77022",29.82777,-95.392456,250000,https://photos.zillowstatic.com/fp/ffa4eebe398e07341ebddbc766f7002b-p_e.jpg,2,1,10206.108,832,77022,1090,2.29,0,0,1,0,1945,1,0,1050,,,3,0.4,3,2.5,3,0.5,0,0,0
