Page,Item,zid,State,City,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,Zone,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days
8,1,27542455,TX,Houston,"15902 Ridgerock Rd, Missouri City, TX 77489",29.595436,-95.48588,114725,https://photos.zillowstatic.com/fp/5603ce32232edf5909a03a3169f0d9af-p_e.jpg,4,2,7148.196,1765,77489,2698,2.41,1,0,1,0,1974,1,2,966,$250 annually,,6,0.3,3,1,2,0.6,1,115275,5140
8,2,27848092,TX,Houston,"5526 Primrose St, Houston, TX 77017",29.687832,-95.23766,159999,https://photos.zillowstatic.com/fp/dc2ed5e0b5a796efbe793eb2cbe034fe-p_e.jpg,4,2,5998.212,1583,77017,1090,2.29,0,0,1,0,1952,1,0,966,,,5,0.5,6,1.1,2,1.1,1,70001,140
8,3,27891506,TX,Houston,"917 Defender St, Houston, TX 77029",29.740788,-95.2638,105000,https://photos.zillowstatic.com/fp/a16f8840a8fbdf7106b4fc843d3abfbd-p_e.jpg,3,2,7700.0,1702,77029,1090,2.29,1,0,1,0,1941,1,1,966,,,7,1.6,5,1.5,2,2.6,1,125000,250
8,4,27916379,TX,Houston,"9222 Sandra St, Houston, TX 77016",29.845833,-95.31347,230000,https://photos.zillowstatic.com/fp/f04510f4e1110d11d8b61b2998c9d0ba-p_e.jpg,3,2,7130.772,1363,77016,1090,2.29,0,0,1,0,1937,1,0,966,,,3,0.3,4,1.3,2,3.4,0,0,0
8,5,27935805,TX,Houston,"3923 Daphne St, Houston, TX 77021",29.695095,-95.359856,230000,https://photos.zillowstatic.com/fp/49f1d96da1f89896fbaf4eeb0ee850a7-p_e.jpg,3,2,6150.672,1542,77021,1090,2.29,0,0,1,0,1960,1,0,966,,,6,0.2,3,0.3,2,1.7,0,0,0
8,6,27968805,TX,Houston,"5626 Windemere St, Houston, TX 77033",29.666927,-95.33894,,https://photos.zillowstatic.com/fp/545684481d264af24b8ad435a35e7012-p_e.jpg,3,2,7814.664,1400,77033,1090,2.29,1,0,1,0,1948,1,1,966,,,4,0.6,3,1.5,3,1.9,0,0,9773
8,7,27998476,TX,Houston,"2735 Knotty Oaks Trl, Houston, TX 77045",29.631796,-95.41647,,https://photos.zillowstatic.com/fp/cc932cf7f30aef96a51d2c79db0c0f44-p_e.jpg,4,2,7021.872,1603,77045,1090,2.29,1,0,1,0,1960,1,1,966,,,3,1.1,4,2.4,2,1.3,0,0,8967
8,8,28004380,TX,Houston,"6822 Roos Rd, Houston, TX 77074",29.700294,-95.50304,275000,https://photos.zillowstatic.com/fp/46cb3daac9a3ad323b3b2558fc06e3fa-p_e.jpg,3,2,7501.032,1704,77074,1090,2.29,0,0,1,0,1957,1,0,966,$500 annually,,999,999.0,999,999,999,999.0,0,-45000,68
8,9,28013905,TX,Houston,"3031 Friar Point Rd, Houston, TX 77051",29.640783,-95.378624,,https://photos.zillowstatic.com/fp/0d2870113339c4c25e630ddf3ff80670-p_e.jpg,4,2,6050.484,1344,77051,1090,2.29,0,0,1,0,1955,1,0,966,,,3,0.7,3,2,3,1.3,0,0,5660
8,10,28017197,TX,Houston,"3635 Van Meter St, Houston, TX 77047",29.6095,-95.36462,360000,https://photos.zillowstatic.com/fp/5e2f7b9e2d42b11eea89f48eec4f3c12-p_e.jpg,3,1,0.4511,1049,77047,1090,2.29,1,0,1,0,1960,1,1,966,,,3,1.2,2,2.7,3,3.0,0,-130000,205
8,11,28028648,TX,Houston,"8807 Dover St, Houston, TX 77061",29.660936,-95.27842,230000,https://photos.zillowstatic.com/fp/a8db8724d4eba7b566feed330bdc16e2-p_e.jpg,3,2,7148.196,1838,77061,1090,2.29,1,0,1,0,1960,1,2,966,$50 annually,,4,0.4,4,0.6,2,2.2,0,0,0
8,12,28075386,TX,Houston,"7506 Leaftex Dr, Humble, TX 77396",29.936996,-95.275,169900,https://photos.zillowstatic.com/fp/bf36fbc70f4b41eea224f16d03eefd94-p_e.jpg,3,2,7148.196,1463,77396,1090,2.29,1,1,1,0,1964,1,2,966,,,3,0.6,4,4.8,2,3.3,1,60100,433
8,13,28078419,TX,Houston,"6230 Standing Oaks St, Houston, TX 77050",29.901415,-95.29649,1500,https://photos.zillowstatic.com/fp/9814c91707753959028d8a2871bc1358-p_e.jpg,4,2,7040.0,2086,77050,1090,2.29,0,0,1,0,1967,2,0,966,,,2,0.2,4,3.2,2,2.9,0,-14900,80
8,14,28124950,TX,Houston,"11915 Hendon Ln, Houston, TX 77072",29.691544,-95.58854,115000,https://photos.zillowstatic.com/fp/99ac74d4ebe1425845b3c093768f327c-p_e.jpg,3,2,7148.196,1664,77072,1090,2.29,1,0,1,0,1967,1,2,966,$300 annually,,5,1.4,4,1.7,3,1.4,1,115000,1791
8,15,28140194,TX,Houston,"306 Coach Lamp Ln, Houston, TX 77060",29.928026,-95.398384,240000,https://photos.zillowstatic.com/fp/fd575a26e487c4b54d34f22db42af4a2-p_e.jpg,4,2,7261.452,1926,77060,1090,2.29,1,0,1,0,1970,1,2,966,,,999,999.0,999,999,999,999.0,0,-10000,40
8,16,28141354,TX,Houston,"10811 Sagevale Ln, Houston, TX 77089",29.593102,-95.23078,230000,https://photos.zillowstatic.com/fp/abf86a98da069479b9065aa14edb3a03-p_e.jpg,3,2,7261.452,1514,77089,1090,2.29,1,0,1,0,1966,1,2,966,,,6,1.3,6,1,5,0.9,0,0,147
8,17,28148812,TX,Houston,"11810 Bay Cedar Dr, Houston, TX 77048",29.632301,-95.350624,175000,https://photos.zillowstatic.com/fp/33d4031745840431ba742eed7755014e-p_e.jpg,3,2,5588.748,1374,77048,1090,2.29,1,0,1,0,1971,1,1,966,,,4,1.2,2,1.2,3,1.8,1,55000,9201
8,18,28153493,TX,Houston,"10523 Adamsborough Dr, Houston, TX 77099",29.678484,-95.56542,1200,https://photos.zillowstatic.com/fp/d32723e285f2ba9a9fefed13d49f75db-p_e.jpg,3,2,7061.076,1706,77099,1090,2.29,1,0,1,0,1972,1,2,966,$290 annually,,4,1.2,5,0.7,3,3.0,1,95000,1654
8,19,28178548,TX,Houston,"403 Fir Ridge Dr, Huffman, TX 77336",30.028112,-95.11526,125000,https://photos.zillowstatic.com/fp/e78e87ccb4d0aec4448de3417dd138a1-p_e.jpg,3,2,0.2686,1725,77336,1090,2.29,1,1,1,0,1977,1,2,966,$300 annually,,4,0.2,4,3.6,6,3.6,1,105000,312
8,20,28182793,TX,Houston,"12203 Ryewater Dr, Houston, TX 77089",29.588005,-95.19418,230000,https://photos.zillowstatic.com/fp/577887ae3845edf96379402429c94a1f-p_e.jpg,3,2,7039.296,1104,77089,1090,2.29,1,0,1,0,1976,1,1,966,$94 annually,,7,1.5,6,1.4,5,2.3,0,0,0
8,21,28198578,TX,Houston,"3423 Lemon Tree Ln, Houston, TX 77088",29.871925,-95.45608,84900,https://photos.zillowstatic.com/fp/b699131e68f4d9cfbb266fa809d9c156-p_e.jpg,4,2,7614.288,1858,77088,1090,2.29,1,0,1,0,1975,1,2,966,$250 annually,,999,999.0,999,999,999,999.0,1,145100,4105
8,22,28213010,TX,Houston,"12802 Huntington Field Dr, Houston, TX 77099",29.67041,-95.60958,250000,https://photos.zillowstatic.com/fp/c8803a4d95adb0c5710c9695caf36b19-p_e.jpg,4,2,7474.896,1986,77099,1090,2.29,1,0,1,0,1976,1,2,966,$260 annually,,4,0.6,6,0.4,3,2.5,0,-20000,11325
8,23,28336988,TX,Houston,"14858 Shottery Dr, Houston, TX 77015",29.806278,-95.15816,255000,https://photos.zillowstatic.com/fp/349ffc96f7de50e29aa2d299b61f6acd-p_e.jpg,3,3,7286.0,1582,77015,1090,2.29,1,1,1,0,1979,2,2,966,$250 annually,,999,999.0,999,999,999,999.0,0,-25000,38
8,24,28360887,TX,Houston,"10619 Nobility Dr, Houston, TX 77099",29.663399,-95.587494,129000,https://photos.zillowstatic.com/fp/95b0525f9fc41749b56de07827be7544-p_e.jpg,3,2,5248.98,1870,77099,1090,2.29,1,0,1,0,1979,1,2,966,$310 annually,,4,1.2,6,1.2,3,3.1,1,101000,2609
8,25,28421319,TX,Houston,"13411 Pecan Oak Dr, Houston, TX 77065",29.924747,-95.62279,1250,https://photos.zillowstatic.com/fp/f362f142cb4374ac5c6e239386b7713f-p_e.jpg,3,2,6298.776,1655,77065,1090,2.29,1,0,1,0,1982,1,2,966,$500 annually,,7,1.9,8,2,7,2.2,1,228750,10773
8,26,28438527,TX,Houston,"9227 Goodmeadow Dr, Houston, TX 77064",29.930708,-95.56113,249999,https://photos.zillowstatic.com/fp/fb93480a42b22e677dc6eceea407d05d-p_e.jpg,4,2,4726.26,1335,77064,1090,2.29,1,0,1,0,1983,1,1,966,$367 annually,,6,0.5,5,0.8,5,3.6,0,-19999,72
8,27,337098110,TX,Houston,"24727 Kessing Creek Ln, Huffman, TX 77336",30.03006,-95.108536,240000,https://photos.zillowstatic.com/fp/b96fe3035b6662ad0791f6a2ac464751-p_e.jpg,3,2,5000.688,1202,77336,1090,2.29,1,0,1,0,2020,1,2,966,$400 annually,,4,0.4,4,3.1,6,3.1,0,-10000,49
8,28,27600881,TX,Houston,"6215 W Ridgecreek Dr, Houston, TX 77053",29.597372,-95.47799,,https://photos.zillowstatic.com/fp/49d21878b16c6ccc2bb5a93569d7fc04-p_e.jpg,3,2,7074.144,1876,77053,2698,2.41,1,0,1,0,1978,1,2,974,$184 annually,,6,0.1,3,0.7,2,0.7,0,0,7325
8,29,28123793,TX,Houston,"11207 Sagevalley Dr, Houston, TX 77089",29.590813,-95.222824,85000,https://photos.zillowstatic.com/fp/b14a3ffd9bf0cdec7754ee1260d273b0-p_e.jpg,3,2,7270.164,1594,77089,1090,2.29,1,0,1,0,1967,1,2,974,$50 annually,,6,1.7,6,0.5,5,1.0,1,147000,3017
8,30,28174792,TX,Houston,"9510 Eblen Dr, Houston, TX 77040",29.879667,-95.50282,257000,https://photos.zillowstatic.com/fp/b22ff40780e73f9288bf5aa4270552fe-p_e.jpg,3,3,6298.776,1436,77040,1090,2.29,0,0,1,0,1972,1,0,974,$140 annually,,999,999.0,999,999,999,999.0,0,-25000,44
8,31,28410447,TX,Houston,"11439 Gracechurch Dr, Houston, TX 77066",29.949026,-95.47861,1300,https://photos.zillowstatic.com/fp/cc48588cb3d9a42d01ab764f08fa95c7-p_e.jpg,3,2,6298.776,2055,77066,1090,2.29,1,0,1,0,1983,1,2,974,$270 annually,,4,0.5,3,2.8,3,2.9,1,230700,3742
8,32,28395334,TX,Houston,"3903 Vineyard Dr, Houston, TX 77082",29.714342,-95.6665,255000,https://photos.zillowstatic.com/fp/c461126f558a9d125e67734cb230555e-p_e.jpg,3,2,5401.44,1699,77082,1090,2.29,1,0,1,0,1981,1,2,978,$320 annually,,6,0.7,6,0.9,3,4.0,0,-22100,95
8,33,28444446,TX,Houston,"12147 Swords Creek Rd, Houston, TX 77067",29.96211,-95.45944,245,https://photos.zillowstatic.com/fp/3ce0d2db581992a071df201d13ab0906-p_e.jpg,3,2,5950.296,1742,77067,1090,2.29,1,0,1,0,1983,1,2,979,$420 annually,,999,999.0,999,999,999,999.0,1,232755,121
8,34,28042051,TX,Houston,"4002 Prudence Dr, Houston, TX 77045",29.624964,-95.43674,65000,https://photos.zillowstatic.com/fp/6001ad84948e5dc671cbb6d92bee0eba-p_e.jpg,3,2,5776.056,1359,77045,1090,2.29,1,0,1,0,1965,1,2,983,,,4,0.3,4,1.1,2,0.3,1,169000,2837
8,35,28225848,TX,Houston,"2118 Oak Shores Dr, Humble, TX 77339",30.065125,-95.21745,194900,https://photos.zillowstatic.com/fp/73a496d0971990355e83d233a8c640bc-p_e.jpg,3,2,8123.94,1603,77339,1090,2.29,1,0,1,0,1976,1,2,983,$350 annually,,5,0.5,6,0.7,5,0.5,1,39100,5675
8,36,251171792,TX,Houston,"19307 Crosshill Ct, Houston, TX 77073",29.975222,-95.40274,233000,https://photos.zillowstatic.com/fp/f87cfffd5886b20871692fd21129e456-p_e.jpg,3,3,2626.668,1582,77073,1090,2.29,1,0,1,0,2017,2,2,986,$800 annually,,999,999.0,999,999,999,999.0,1,1777,41
8,37,28360644,TX,Houston,"6606 Lewiston St, Houston, TX 77049",29.822287,-95.20334,239800,https://photos.zillowstatic.com/fp/0a21c8ff079193dec9557c66b72b8e39-p_e.jpg,4,2,6298.776,1743,77049,1090,2.29,0,0,1,0,1980,1,0,986,$240 annually,,999,999.0,999,999,999,999.0,0,-5000,5346
