price,bedrooms,bathrooms,constructedarea,zipcode,yearbuilt,lotareasqft,avgschoolrating,avgschooldist,crimepercentage
276000,3,2,3612.0,77489,1971,8764.272,3.6666666666666665,0.9666666666666668,0.336865928
220000,3,2,1270.0,77489,1972,7884.36,3.6666666666666665,0.8666666666666667,0.336865928
230000,4,2,1765.0,77489,1974,7148.196,3.6666666666666665,0.6333333333333333,0.336865928
225000,3,2,1444.0,77489,1978,7731.9,3.6666666666666665,0.8333333333333334,0.336865928
246500,3,2,1738.0,77489,1978,8062.956,3.6666666666666665,0.6333333333333333,0.336865928
210000,2,2,1246.0,77489,1981,6821.496,3.6666666666666665,1.2333333333333334,0.336865928
212000,3,2,1357.0,77489,1979,8398.368,3.6666666666666665,0.9333333333333332,0.336865928
290000,4,3,1831.0,77489,1999,5018.112,3.6666666666666665,1.4000000000000001,0.336865928
203000,3,3,1562.0,77053,1983,4199.184,3.6666666666666665,0.6,0.581463669
298500,4,3,2463.0,77083,1992,8698.932,4.666666666666667,0.7999999999999999,0.068765913
264990,4,2,1619.0,77083,1982,8293.824,5.333333333333333,1.7,0.068765913
249990,3,2,1961.0,77053,1964,7440.048,3.6666666666666665,0.8000000000000002,0.581463669
259000,3,2,1581.0,77083,1981,7440.048,5.0,1.0,0.068765913
270000,4,3,2169.0,77083,1977,7213.536,5.0,1.3,0.068765913
274900,3,2,1828.0,77083,1978,8359.164,5.0,1.1666666666666665,0.068765913
269900,3,2,1510.0,77083,1982,7178.688,5.0,1.2333333333333334,0.068765913
239000,2,2,1471.0,77083,1982,5719.428,5.0,1.0999999999999999,0.068765913
275900,3,2,1294.0,77083,1979,6612.408,5.0,0.7333333333333334,0.068765913
214999,4,2,1247.0,77083,1980,6050.484,5.0,0.7999999999999999,0.068765913
260000,4,2,1299.0,77083,1980,6107.112,5.0,0.8000000000000002,0.068765913
259000,4,2,1905.0,77083,1982,6006.924,5.333333333333333,1.866666666666667,0.068765913
550000,7,5,900.0,77003,1930,7492.32,3.3333333333333335,1.0666666666666667,1.130285291
260000,3,2,1818.0,77083,1982,8167.5,5.0,1.2333333333333334,0.068765913
245000,3,2,1244.0,77083,1982,5018.112,4.666666666666667,0.8333333333333334,0.068765913
285000,3,3,2072.0,77083,1982,5627.952,4.666666666666667,1.5666666666666664,0.068765913
