Page,Item,zid,State,City,Number,Street,zipCode,Lat,Lng,Price,Image,Bedrooms,Bathrooms,Status,daysOnSale
2,1,27853008,TX,Houston,600,E 40th 1/2 St,77022,29.822659,-95.39235,309000,https://photos.zillowstatic.com/fp/819785428f53948510c2c49d266bf256-p_e.jpg,3,2,FOR_SALE,-1
2,2,28078321,TX,Houston,6215,Great Oaks Dr,77050,29.903404,-95.29729,309000,https://photos.zillowstatic.com/fp/61a6e89f54bc0342ef13fe567b5397c5-p_e.jpg,4,3,FOR_SALE,-1
2,3,28150303,TX,Houston,5930,Lodge Creek Dr,77066,29.974018,-95.51575,309000,https://photos.zillowstatic.com/fp/522c7c7af336de393745d65ecee1d1fc-p_e.jpg,5,5,FOR_SALE,-1
2,4,28377473,TX,Houston,14822,James River Ln,77084,29.865757,-95.630775,309000,https://photos.zillowstatic.com/fp/c3f1f3e01c791f3d82db9b691dc85f62-p_e.jpg,4,3,FOR_SALE,-1
2,5,28444756,TX,Houston,12006,Hadley Falls Ct,77067,29.959593,-95.45223,309000,https://photos.zillowstatic.com/fp/a7fd0fca1de24c951c0bc026ae6c346e-p_e.jpg,3,2,FOR_SALE,-1
2,6,305342657,TX,Houston,5039,Azalea Trace Dr,77066,29.959442,-95.49391,309000,https://photos.zillowstatic.com/fp/8fc4070f1e53bd79ad16ffe72b696442-p_e.jpg,4,3,FOR_SALE,-1
2,7,54638506,TX,Houston,16302,Lynn Crest Ct,77083,29.680286,-95.671974,309000,https://photos.zillowstatic.com/fp/f3e888065b308d79d5e8b6c791c36bd0-p_e.jpg,4,3,FOR_SALE,-1
2,8,62567434,TX,Houston,3119,Palace Oaks Dr,77082,29.724735,-95.65505,309000,https://photos.zillowstatic.com/fp/820cd0229777e939f2e9539eef977ffd-p_e.jpg,4,3,FOR_SALE,-1
2,9,161367462,TX,Houston,9026,Saint Laurent Ln,77044,29.855267,-95.19118,309500,https://photos.zillowstatic.com/fp/f4011d1c546551d6adce557bde3feb74-p_e.jpg,4,3,FOR_SALE,-1
2,10,28411754,TX,Houston,8623,Humphreys Dr,77083,29.684055,-95.61542,309500,https://photos.zillowstatic.com/fp/b6c37aaa3ff8f981b270c453b77457bd-p_e.jpg,4,2,FOR_SALE,-1
