zid,Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
27935909,29.698082,-95.36072,250000,4,2,2062,77021,0,0,1,0,1950,1,1,1050,4,0.5,3,0.5,2,1.6,0,0,0,6481.728
27936790,29.812714,-95.45042,525000,3,3,1537,77092,1,1,1,0,1952,1,2,2205,2,0.9,6,1.2,3,1.1,1,320000,3328,11761.2
27936851,29.81275,-95.44646,528100,4,2,3243,77092,0,0,1,0,1958,1,0,2331,2,0.9,6,1.1,3,0.9,1,60000,1655,26000.964
27937091,29.843601,-95.380104,350000,4,2,1521,77022,1,0,1,0,1950,1,3,1470,7,0.5,7,0.7,1,1.2,1,165000,2991,11913.66
27937108,29.826897,-95.39394,315000,2,1,1596,77022,0,0,1,0,1947,1,1,1323,3,0.5,3,2.5,3,0.4,0,-9990,77,5998.212
27938346,29.885393,-95.30559,212000,3,2,1240,77016,0,0,1,0,1950,1,0,890,2,0.9,4,2.3,2,2.8,0,0,80,9179.9999
27938746,29.698647,-95.30693,200000,3,2,1258,77087,0,0,1,0,1949,1,0,840,8,0.5,5,1.6,3,4,0,0,5831,9443.808
27938820,29.697582,-95.307274,280000,4,2,1793,77087,0,0,1,0,1950,1,0,1176,8,0.5,5,1.5,3,4,1,137500,3168,5985.144
27940173,29.703608,-95.331635,219999,4,1,1560,77021,0,0,1,0,1950,1,0,924,3,0.2,3,2.1,2,1.9,1,218799,5725,7261.452
27940237,29.69912,-95.329926,225000,2,1,1266,77021,1,0,1,0,1950,1,1,945,3,0.5,3,2.1,2,2.1,0,0,5151,7200.468
27940358,29.698751,-95.33238,200000,3,2,1506,77021,1,0,1,0,1950,1,1,840,3,0.5,3,2,2,2,1,51000,524,13320.648
27940640,29.800917,-95.49122,730000,3,3,2754,77055,1,0,1,0,1959,1,0,3066,3,4,3,4,3,6,1,15000,14,15000
27941412,29.70133,-95.3185,245000,4,2,1249,77023,1,0,1,0,1949,1,1,1029,8,0.3,4,2.1,2,2.1,0,0,0,6089.688
27941881,29.701693,-95.47649,289990,2,1,1177,77081,0,0,1,0,1949,1,0,1218,8,0.6,6,2.4,6,0.8,0,-9910,384,8590.032
27942337,29.687407,-95.33281,279000,3,2,1616,77033,1,0,1,0,2019,1,2,1172,4,0.3,3,2.2,3,3.3,1,229000,855,7470.54
27942476,29.68726,-95.328064,222999,4,2,1350,77033,0,0,1,0,1949,1,0,937,4,0.5,3,2.5,3,3.2,1,87999,122,6930.396
27942496,29.686085,-95.33111,295000,4,2,1902,77033,0,0,1,0,1950,1,0,1239,4,0.3,3,2.3,3,3.2,0,-10000,10,8894.952
27942945,29.680033,-95.331535,214999,3,2,1630,77033,0,0,1,0,1952,1,0,903,4,0.2,3,2.1,3,2.8,0,-1,22,7339.86
27943550,29.805769,-95.31281,249900,4,3,2386,77026,1,0,1,0,1950,1,1,1050,4,0.3,3,1.1,3,1.1,1,159901,4892,7030.584
27944077,29.921757,-95.47562,639000,3,2,1152,77086,0,1,1,0,1982,1,0,2684,3,4,3,4,3,6,1,389100,3688,87120
27944301,29.74505,-95.487495,585000,3,3,2850,77057,1,0,1,0,1995,2,2,2457,5,0.3,7,1.2,2,1.2,0,0,0,2787.84
27944419,29.739677,-95.488014,399000,3,3,2086,77057,1,0,1,0,1980,2,2,1676,5,0.6,7,1.3,2,1,1,14000,3465,3515.292
27944439,29.741604,-95.487045,874900,4,5,3534,77057,1,0,1,0,1993,2,2,3675,5,0.5,7,1.2,2,1.1,1,49900,3024,4669.632
