Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
29.742191,-95.361755,279900,3,1,1496,77003,1,0,1,0,1917,1,1,1176,4,0.8,3,3.2,2,1.3,0,-20000,62,5000.688
29.742243,-95.34549,550000,7,5,900,77003,0,0,1,0,1930,1,0,2310,4,0.7,4,1.4,2,1.1,0,0,0,7492.32
29.774805,-95.35797,399000,3,2,1670,77009,0,0,1,0,1910,1,0,1676,5,0.5,5,0.5,2,0.5,1,10000,797,5000.688
29.775473,-95.35917,299000,2,1,1300,77009,0,0,1,0,1915,1,0,1256,8,0.4,5,0.4,2,0.5,1,83000,888,7289.0
29.77601,-95.35764,299000,4,2,888,77009,0,0,1,0,1910,1,0,1256,8,0.4,5,0.4,2,0.5,0,-130900,1809,5000.688
29.779293,-95.35922,245000,2,2,1104,77009,1,0,1,0,1940,1,1,1029,8,0.2,5,0.2,2,0.3,0,0,0,4499.748
29.779991,-95.356224,295000,1,1,984,77009,1,0,1,0,1940,2,2,1239,5,0.2,5,0.1,2,0.2,0,-65000,2195,5253.336
29.780409,-95.35942,320000,4,3,2248,77009,0,0,1,0,1940,1,2,1344,8,0.2,5,0.2,2,0.2,0,-55000,54,5000.688
29.779554,-95.36477,449000,3,3,1665,77009,1,0,1,0,1910,1,1,1886,8,0.2,5,0.5,2,0.5,1,199100,307,4499.748
29.78168,-95.363106,285000,2,1,988,77009,1,0,1,0,1925,1,2,1197,8,0.1,5,0.4,2,0.3,0,-15000,217,3349.764
29.778612,-95.322205,364900,3,3,1830,77020,1,0,1,0,2022,2,2,1533,7,0.1,3,0.8,2,0.5,0,0,0,2500.0
29.904688,-95.368744,250000,4,1,1353,77039,0,0,1,0,1966,1,0,1050,3,4.0,3,4.0,3,6.0,0,-19990,144,43560.0
29.908281,-95.37335,325000,3,2,1272,77039,1,0,1,0,1967,1,1,1365,3,4.0,3,4.0,3,6.0,1,175000,2337,19475.676
29.774729,-95.37066,629000,3,2,2348,77007,0,0,1,0,1906,2,0,2642,6,0.6,6,1.3,5,1.9,1,284000,2452,3750.516
29.765696,-95.38084,578888,2,2,1316,77007,0,0,1,0,1890,1,2,2431,6,0.5,6,1.5,5,2.0,0,0,0,5000.688
29.766474,-95.37636,600000,4,4,4499,77007,0,0,1,0,1888,2,0,2520,6,0.5,6,1.6,5,2.1,1,302000,1383,5000.688
29.765877,-95.408066,730000,2,1,1236,77007,1,0,1,0,1950,1,0,3066,8,1.1,6,2.0,5,2.0,1,180000,292,7130.772
29.768892,-95.40738,618000,3,4,2630,77007,1,0,1,0,2007,3,2,2596,8,1.1,6,1.9,5,1.9,1,73000,2416,1900.0
29.773947,-95.40698,419900,3,2,1317,77007,1,0,1,0,1925,1,2,1764,8,1.2,6,1.6,5,1.6,0,-175100,125,5100.876
29.769796,-95.3289,449999,3,4,1858,77020,1,0,1,0,2023,3,2,1890,2,0.9,3,1.1,2,0.6,1,349999,2914,1450.548
29.725327,-95.35512,475000,3,2,1534,77004,1,0,1,0,2022,1,2,1995,4,0.5,3,2.2,2,0.2,1,425100,3094,3798.432
29.778898,-95.35079,220000,4,1,1064,77026,0,0,1,0,1925,1,0,924,5,0.1,5,0.4,2,0.5,1,30500,216,4700.124
29.77664,-95.35493,350000,3,2,2048,77009,0,0,1,0,1915,1,0,1470,5,0.2,5,0.4,2,0.5,0,-25000,2292,6512.22
29.77779,-95.35241,245000,3,1,1382,77009,0,0,1,0,1925,1,0,1029,5,0.1,5,0.4,2,0.5,0,-34900,154,4647.852
29.777794,-95.35194,275000,4,3,1960,77009,0,0,1,0,1910,1,3,1155,5,0.1,5,0.4,2,0.5,0,-25000,203,4647.852
