Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT,avgSchoolRating,avgSchoolDist
29.680353,-95.6465,345000,4.0,2,2045.0,77083,2698,2.41,1,1,1,0,1982.0,1.0,2,5.0,0.3,4,1.8,6,2.3,0,0,0,8820.9,5.0,1.4666666666666668
29.681067,-95.65266,335000,4.0,3,2564.0,77083,2698,2.41,1,0,1,0,1987.0,2.0,2,6.0,1.1,4,1.4,6,2.4,1,130500,1308,8377.0,5.333333333333333,1.6333333333333335
29.577105,-95.51545,264900,3.0,2,1570.0,77489,2698,2.41,1,0,1,0,1979.0,1.0,2,3.0,2.5,3,2.7,2,2.2,0,0,9598,6525.288,2.6666666666666665,2.466666666666667
29.576557,-95.515,209000,3.0,4,1570.0,77489,2698,2.41,1,0,1,0,1979.0,1.0,2,3.0,2.5,3,2.7,2,2.1,0,-16000,7225,6229.08,2.6666666666666665,2.4333333333333336
29.575148,-95.515465,247995,3.0,2,1550.0,77489,2698,2.41,1,0,1,0,1979.0,1.0,2,3.0,2.5,3,2.7,2,2.2,1,113995,120,6451.236,2.6666666666666665,2.466666666666667
29.583775,-95.51674,280000,4.0,3,2836.0,77489,2698,2.41,1,0,1,0,1978.0,2.0,2,5.0,1.1,4,2.5,3,1.7,1,155000,4461,7200.468,4.0,1.7666666666666666
29.587103,-95.51736,250000,4.0,3,2296.0,77489,2698,2.41,1,0,1,0,1979.0,2.0,2,4.0,0.9,4,2.3,3,1.5,1,142000,3581,6298.776,3.6666666666666665,1.5666666666666664
29.59689,-95.46999,249900,3.0,2,1918.0,77053,2698,2.41,1,0,1,0,1978.0,1.0,2,6.0,0.4,3,0.7,2,1.0,0,0,0,9818.424,3.6666666666666665,0.7000000000000001
29.597372,-95.47799,232000,3.0,2,1876.0,77053,2698,2.41,1,0,1,0,1978.0,1.0,2,6.0,0.1,3,0.7,2,0.7,0,0,7325,7074.144,3.6666666666666665,0.5
29.589685,-95.456055,210000,4.0,2,1252.0,77053,2698,2.41,1,0,1,0,1972.0,1.0,2,2.0,0.3,3,1.1,2,1.6,0,0,13561,6912.972,2.3333333333333335,1.0
29.592022,-95.457726,227500,3.0,2,1081.0,77053,2698,2.41,0,0,1,0,1972.0,1.0,0,2.0,0.2,3,1.0,2,1.6,1,42500,242,6660.324,2.3333333333333335,0.9333333333333332
29.589619,-95.4518,200000,4.0,2,1418.0,77053,2698,2.41,1,0,1,0,2006.0,1.0,2,2.0,0.5,3,1.3,2,1.9,1,131500,4902,5523.408,2.3333333333333335,1.2333333333333334
29.589092,-95.452,229000,3.0,2,1322.0,77053,2698,2.41,0,0,1,0,1972.0,1.0,0,2.0,0.5,3,1.3,2,1.9,1,145000,2731,4639.14,2.3333333333333335,1.2333333333333334
29.742191,-95.361755,279900,3.0,1,1496.0,77003,1090,2.29,1,0,1,0,1917.0,1.0,1,4.0,0.8,3,3.2,2,1.3,0,-20000,62,5000.688,3.0,1.7666666666666666
29.742243,-95.34549,550000,7.0,5,900.0,77003,1090,2.29,0,0,1,0,1930.0,1.0,0,4.0,0.7,4,1.4,2,1.1,0,0,0,7492.32,3.3333333333333335,1.0666666666666667
29.774805,-95.35797,399000,3.0,2,1670.0,77009,1090,2.29,0,0,1,0,1910.0,1.0,0,5.0,0.5,5,0.5,2,0.5,1,10000,797,5000.688,4.0,0.5
29.775473,-95.35917,299000,2.0,1,2158.627875809694,77009,1090,2.29,0,0,1,0,1915.0,1.0,0,8.0,0.4,5,0.4,2,0.5,1,83000,888,7775.7013398033405,5.0,0.43333333333333335
29.77601,-95.35764,299000,4.0,2,888.0,77009,1090,2.29,0,0,1,0,1910.0,1.0,0,8.0,0.4,5,0.4,2,0.5,0,-130900,1809,5000.688,5.0,0.43333333333333335
29.779293,-95.35922,245000,2.0,2,1104.0,77009,1090,2.29,1,0,1,0,1940.0,1.0,1,8.0,0.2,5,0.2,2,0.3,0,0,0,4499.748,5.0,0.2333333333333333
29.779991,-95.356224,295000,1.0,1,984.0,77009,1090,2.29,1,0,1,0,1940.0,2.0,2,5.0,0.2,5,0.1,2,0.2,0,-65000,2195,5253.336,4.0,0.16666666666666666
29.780409,-95.35942,320000,4.0,3,2248.0,77009,1090,2.29,0,0,1,0,1940.0,1.0,2,8.0,0.2,5,0.2,2,0.2,0,-55000,54,5000.688,5.0,0.20000000000000004
29.779554,-95.36477,449000,3.0,3,1665.0,77009,1090,2.29,1,0,1,0,1910.0,1.0,1,8.0,0.2,5,0.5,2,0.5,1,199100,307,4499.748,5.0,0.39999999999999997
29.78168,-95.363106,285000,2.0,1,988.0,77009,1090,2.29,1,0,1,0,1925.0,1.0,2,8.0,0.1,5,0.4,2,0.3,0,-15000,217,3349.764,5.0,0.26666666666666666
29.778612,-95.322205,364900,3.0,3,1830.0,77020,1090,2.29,1,0,1,0,2022.0,2.0,2,7.0,0.1,3,0.8,2,0.5,0,0,0,2500.0,4.0,0.4666666666666666
29.904688,-95.368744,250000,4.0,1,1353.0,77039,1090,2.29,0,0,1,0,1966.0,1.0,0,999.0,999.0,999,999.0,999,999.0,0,-19990,144,43560.0,999.0,999.0
29.908281,-95.37335,325000,3.0,2,1272.0,77039,1090,2.29,1,0,1,0,1967.0,1.0,1,999.0,999.0,999,999.0,999,999.0,1,175000,2337,19475.676,999.0,999.0
29.774729,-95.37066,629000,3.0,2,2348.0,77007,1090,2.29,0,0,1,0,1906.0,2.0,0,6.0,0.6,6,1.3,5,1.9,1,284000,2452,3750.516,5.666666666666667,1.2666666666666666
29.765696,-95.38084,578888,2.0,2,1316.0,77007,1090,2.29,0,0,1,0,1890.0,1.0,2,6.0,0.5,6,1.5,5,2.0,0,0,0,5000.688,5.666666666666667,1.3333333333333333
29.766474,-95.37636,600000,4.0,4,4499.0,77007,1090,2.29,0,0,1,0,1888.0,2.0,0,6.0,0.5,6,1.6,5,2.1,1,302000,1383,5000.688,5.666666666666667,1.4000000000000001
29.765877,-95.408066,730000,2.0,1,1236.0,77007,1090,2.29,1,0,1,0,1950.0,1.0,0,8.0,1.1,6,2.0,5,2.0,1,180000,292,7130.772,6.333333333333333,1.7
