Page,Item,zid,State,City,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,Zone,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days
16,1,2067027713,TX,Houston,"948 Fisher St #D, Houston, TX 77018",,,454900,https://photos.zillowstatic.com/fp/29fdce5666a1ff8fe08cd850f8b322e7-p_e.jpg,3,4,1675,2177,77018,1090,2.29,1,0,1,0,2022,3,2,2016,$100 monthly,,999,999,999,999,999,999,1,25000,364
16,2,27857364,TX,Houston,"948 Fisher St, Houston, TX 77018",29.82322,-95.423325,459900,https://photos.zillowstatic.com/fp/29fdce5666a1ff8fe08cd850f8b322e7-p_e.jpg,3,4,1675,2177,77018,1090,2.29,1,0,1,0,2022,3,2,2016,$100 monthly,,999,999,999,999,999,999,1,20000,364
16,3,27975608,TX,Houston,"6613 Granite St, Houston, TX 77092",29.828133,-95.48955,499000,https://photos.zillowstatic.com/fp/2dc5b710f61185e31c3d11fbd819759a-p_e.jpg,4,4,6159.384,2565,77092,1090,2.29,1,0,1,0,2022,2,2,2016,,,7,0.5,2,1.1,2,1.2,0,-19100,160
16,4,28016816,TX,Houston,"2007 Viking Dr, Houston, TX 77018",29.835184,-95.448296,595000,https://photos.zillowstatic.com/fp/e2a29495ab4eaf23df8991ca8c631324-p_e.jpg,3,2,7200.468,1896,77018,1090,2.29,1,0,1,0,1954,1,1,2016,,,2,0.5,6,0.7,3,1.5,0,-115100,216
16,5,28059488,TX,Houston,"5242 Cheena Dr, Houston, TX 77096",29.66912,-95.472725,458000,https://photos.zillowstatic.com/fp/42101474391fb145e508ac0bae959a11-p_e.jpg,3,2,9286.992,2139,77096,1090,2.29,1,0,1,0,1960,1,2,2016,$467 annually,,8,0.5,5,0.1,6,1.5,1,21900,608
16,6,28261688,TX,Houston,"12114 Glenway Dr, Houston, TX 77070",29.982008,-95.60655,249900,https://photos.zillowstatic.com/fp/77cf48d0e5300815d1346b82aaa86348-p_e.jpg,5,4,9400.248,3660,77070,1090,2.29,1,1,1,0,1978,2,2,2016,$655 annually,,6,0.7,9,0.8,5,2.8,1,230000,4661
16,7,2061903766,TX,Houston,"2850 Cline St, Houston, TX 77020",29.766628,-95.340836,479990,https://photos.zillowstatic.com/fp/abe8679238389babc391b1272c2bc483-p_e.jpg,3,4,1408,1850,77020,1090,2.29,1,0,1,0,2022,3,2,2016,$750 annually,,2,0.1,3,1.8,2,1.3,0,0,0
16,8,2077432742,TX,Houston,"Athena II Plan, Kirby Landing",29.641323,-95.39822,361990,https://photos.zillowstatic.com/fp/99282f533892fb34497db8bc3a114a2d-p_e.jpg,3,4,,2658,77051,1090,2.29,0,0,0,0,2022,,2,2016,,,3,1.6,3,2.8,3,2.2,1,118000,532
16,9,27977140,TX,Houston,"10904 Willowisp Dr, Houston, TX 77035",29.662357,-95.46364,2295,https://photos.zillowstatic.com/fp/8fbf12d65b23123024f1631aaaee7f63-p_e.jpg,4,3,0.2616,2898,77035,1090,2.29,0,0,1,0,1955,1,2,2016,$125 annually,,5,0.6,5,0.8,2,1.4,1,477700,2477
16,10,27952396,TX,Houston,"7207 Dearborn St, Houston, TX 77055",29.800135,-95.47338,250000,https://photos.zillowstatic.com/fp/1ee0cbf0c04ad1ca6576cb17edc88295-p_e.jpg,3,2,7200.468,1350,77055,1090,2.29,0,0,1,0,1952,1,2,2016,,,999,999,999,999,999,999,1,230000,911
