Page,Item,zid,State,City,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,Zone,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days
1,1,2081204151,TX,Houston,"Marseille Plan, Somerset Green",29.785189,-95.44188,628990,https://photos.zillowstatic.com/fp/a73ab50a3435bfb6afa34eb9d6519b7a-p_e.jpg,3,4,,2499,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,2,2060400441,TX,Houston,"4283 Childress St, Houston, TX 77005",29.725676,-95.447205,705000,https://photos.zillowstatic.com/fp/2335988febcc824529f1134459af2d77-p_e.jpg,3,3,,2402,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,3,2081204146,TX,Houston,"Bordeaux Plan, Somerset Green",29.785189,-95.44188,705990,https://photos.zillowstatic.com/fp/1a7a90abb52003c4b14844f1ef4b5e3f-p_e.jpg,3,3,,2499,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,4,2063375570,TX,Houston,"510 Sampson St, Houston, TX 77003",29.748062,-95.34158,709000,https://photos.zillowstatic.com/fp/85d2256e544029d3379a5ddd38b1e951-p_e.jpg,3,4,2679,2482,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,5,2067591835,TX,Houston,"4313 Dickson St #B, Houston, TX 77007",,,709900,https://photos.zillowstatic.com/fp/97666c5781b68ea3f84f9ebced901dab-p_e.jpg,3,3,2500,2532,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,6,2081204150,TX,Houston,"Birmingham Plan, Somerset Green",29.785189,-95.44188,709990,https://photos.zillowstatic.com/fp/111f9df88f1128ed55b8f1c48c6a43b8-p_e.jpg,3,3,,2295,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,7,2060761026,TX,Houston,"1643 Bingle Rd, Houston, TX 77055",29.799791,-95.50167,710000,https://photos.zillowstatic.com/fp/08897b78bf176c1c8995dd3dd1d410fb-p_e.jpg,3,4,2244,2863,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,8,2060765223,TX,Houston,"1645 Bingle Rd, Houston, TX 77055",29.799791,-95.50178,710000,https://photos.zillowstatic.com/fp/8388f26212c573980edb18a1d843416d-p_e.jpg,3,4,2244,2852,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,9,243979746,TX,Houston,"3240 Floral Garden Ln, Porter, TX 77365",30.09322,-95.18363,710000,https://photos.zillowstatic.com/fp/e63553c1ae01e84f7d1db7303bff360d-p_e.jpg,4,5,,3824,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,10,80562546,TX,Houston,"4906 Mount Vernon St, Houston, TX 77006",29.729084,-95.39389,710000,https://photos.zillowstatic.com/fp/e2e1c902277ad43c2315ad05c390f90c-p_e.jpg,3,4,1665,2816,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,11,126252637,TX,Houston,"932 Dunleigh Meadows Ln, Houston, TX 77055",29.785889,-95.44378,714900,https://photos.zillowstatic.com/fp/b5721958d77d3fbd9900e68885274d1f-p_e.jpg,3,4,1677.06,2668,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,12,2061309603,TX,Houston,"1723 Dunlavy St, Houston, TX 77006",29.7506,-95.40218,714900,https://photos.zillowstatic.com/fp/a74c220720637741efb0dfebd6d8c002-p_e.jpg,3,4,1525,2648,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,13,2061309713,TX,Houston,"1803 Dunlavy St, Houston, TX 77006",29.749962,-95.402176,714900,https://photos.zillowstatic.com/fp/6bd5205f25d321109d8f229e152edacc-p_e.jpg,3,4,1525,2648,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,14,2061712231,TX,Houston,"22013 Breakwater Ln, Porter, TX 77365",,,715000,https://photos.zillowstatic.com/fp/31367296e1572ae42ca653757f7756a8-p_e.jpg,4,3,8125,3109,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,15,27760601,TX,Houston,"1411 Tulane St, Houston, TX 77008",29.796862,-95.40272,715000,https://photos.zillowstatic.com/fp/c28bda64c97e8911e1a1bcc4673be79c-p_e.jpg,3,2,6600,1868,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,16,337096860,TX,Houston,"8710 Ojeman Creek Ln, Houston, TX 77055",29.802801,-95.503395,717000,https://photos.zillowstatic.com/fp/7b18593b99cb2a43756dd25a6f747983-p_e.jpg,4,4,3057.912,2842,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,17,2063361034,TX,Houston,"508 Sampson St, Houston, TX 77003",29.748075,-95.341576,718000,https://photos.zillowstatic.com/fp/9a6c9c2079e6e57af9463451bca5fee1-p_e.jpg,3,4,2679,2518,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,18,123231252,TX,Houston,"2516 Rutland St, Houston, TX 77008",29.809668,-95.40136,719000,https://photos.zillowstatic.com/fp/c450c04709676d71478c1485e8c4c42c-p_e.jpg,4,3,3275.712,2522,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,19,27874872,TX,Houston,"815 Fairbanks St, Houston, TX 77009",29.810429,-95.35977,719000,https://photos.zillowstatic.com/fp/908edb1aa0a45a5ed2b55d69cf9afafb-p_e.jpg,3,3,7949.7,1972,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,20,27977666,TX,Houston,"8913 Bace Dr, Houston, TX 77055",29.787987,-95.50924,719000,https://photos.zillowstatic.com/fp/fbb848a1d05c72338bc47b06ab055b1d-p_e.jpg,3,2,8197.992,1308,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,21,125463263,TX,Houston,"1811 Dunlavy St, Houston, TX 77006",29.749538,-95.40192,719900,https://photos.zillowstatic.com/fp/ecfe45a5a5d20870f53d4dc34e41d7b1-p_e.jpg,3,4,2500.344,2979,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
1,22,2060761024,TX,Houston,"1647 Bingle Rd, Houston, TX 77055",29.799803,-95.50187,720000,https://photos.zillowstatic.com/fp/08897b78bf176c1c8995dd3dd1d410fb-p_e.jpg,3,4,2653,2863,77055,1090,2.29,0,0,0,0,2022,,2,2948,,,4,1,6,3.5,3,2.1,1,73000,756
